category,code,title,url,price,source_url,img_list,desc
"Sinks,Surface mounted Washbasins",5135U3',"
			Memento
		",http://www.villeroy-boch.com/bw/m/Memento-Washbasin-20-Surface-mounted-Back-of-washbasin-glazed-Angular-5135U3.html,,http://www.villeroy-boch.com/,typo3temp/_processed_/csm_pic_513561_c8151a6a9a.png,Collection Product description Size Tap fitting / Tap hole remark Overflow remark Material
[, 1041537277',For Me 16 Piece Set : Service for 4,http://www.villeroy-boch.com/shop/for-me-starter-set-4-pers.html,,http://www.villeroy-boch.com/,"http://www.villeroy-boch.com/shop/media/catalog/product/cache/19/image/560x/9df78eab33525d08d6e5fb8d27136e95/v/i/villeroy_boch_forme_breakfastset_4pers/villeroy-boch-For-Me-16-Piece-Set-Service-for-4-30.jpg,http://www.villeroy-boch.com/shop/media/catalog/product/cache/19/image/560x/9df78eab33525d08d6e5fb8d27136e95/m/a/manual_1041537277/villeroy-boch-For-Me-16-Piece-Set-Service-for-4-32.jpg,http://www.villeroy-boch.com/shop/media/catalog/product/cache/19/image/560x/9df78eab33525d08d6e5fb8d27136e95/m/a/manual_pps_1041537277/villeroy-boch-For-Me-16-Piece-Set-Service-for-4-33.jpg,http://www.villeroy-boch.com/shop/media/catalog/product/cache/19/image/560x/9df78eab33525d08d6e5fb8d27136e95/m/a/manual_forme_pasta/villeroy-boch-For-Me-16-Piece-Set-Service-for-4-34.jpg,http://www.villeroy-boch.com/shop/media/catalog/product/cache/19/image/560x/9df78eab33525d08d6e5fb8d27136e95/m/a/manual_forme_breakfast/villeroy-boch-For-Me-16-Piece-Set-Service-for-4-35.jpg,http://www.villeroy-boch.com/shop/media/catalog/product/cache/19/image/560x/9df78eab33525d08d6e5fb8d27136e95/m/a/manual_forme_bfast/villeroy-boch-For-Me-16-Piece-Set-Service-for-4-36.jpg",  Set is composed of: 4 x French Rice Bowl 4 x Dinner Plate 4 x Salad Plate 4 x Mug   Set is composed of: 4 x French Rice Bowl 4 x Dinner Plate 4 x Salad Plate 4 x Mug
