Sku,Delivery_time,Product_id,category,level,url,brand,img,Variant,source_url,desc1,um,source,href,region_name,title,price1,Saller,price,desc
,,, Cement & RMC PPC & PSC Cement',3,http://buildkar.com/shop/cement-rmc/ppc-psc-cement/priya-ppc-cement/,,,50,,,,,,,Priya PPC Cement,360.00,,350.00,", Priya PPC Cement, , Priya PPC is a special blended cement and is produced by inter-grinding Ordinary portland cement clinker with high quality processed fly ash along with gypsum. Due to its inherent characteristics, PPC aids in creating corrosion resistant concrete that is far superior to concrete made with OPC.\xa0Priya PPC cement is a product of Rain Cements Limited (RCL\x80\x9d) which is a leading producer of 3.12 million tons per annum of cement in South India since 1986. RCL is self-sufficient in all critical raw materials consisting of limestone, power and coal., , , "
,,, Cement & RMC OPC 53 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-53-grade-cement/ramco-53-grade-cement/,,,50,,,,,,,Ramco 53 Grade Cement,387.00,,377.00,
,,, Cement & RMC OPC 43 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-43-grade-cement/ramco-43-grade-cement/,,,50,,,,,,,Ramco 43 Grade Cement,384.00,,374.00,
,,, Cement & RMC OPC 43 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-43-grade-cement/vasavadatta-birla-shakti-43-grade-cement/,,,50,,,,,,,Vasavadatta Birla Shakti 43 Grade Cement,367.00,,357.00,
,,, Cement & RMC OPC 53 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-53-grade-cement/vasavadatta-birla-shakti-53-grade-cement/,,,50,,,,,,,Vasavadatta Birla Shakti 53 Grade Cement,372.00,,360.00,
,,, Cement & RMC PPC & PSC Cement',3,http://buildkar.com/shop/cement-rmc/ppc-psc-cement/vasavadatta-ppc-cement/,,,50,,,,,,,Vasavadatta Birla Shakti PPC Cement,365.00,,355.00,", , Vasavadatta Birla Shakti PPC Cement, , Vasavadatta produces less heat of hydration and offers greater resistance to the attack of aggressive waters than normal Portland Cement. Moreover, it reduces the leaching of calcium hydroxide liberated during the setting and hydration of cement. Vasavadatta PPC Cement has highest demand in market due to its durability and quality. Manufacturers used premium grade materials to produce PPC Cement.\xa0The concrete produced by using PPC has more strength, is more durable, can resist wet cracking and it is workable in mortar and concrete., , "
,,, Cement & RMC PPC & PSC Cement',3,http://buildkar.com/shop/cement-rmc/ppc-psc-cement/ramco-ppc-cement/,,,50,,,,,,,Ramco PPC Cement,385.00,,375.00,
,,, Cement & RMC OPC 43 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-43-grade-cement/coromandel-king-43-grade-cement/,,,50,,,,,,,Coromandel King 43 Grade Cement,390.00,,375.00,
,,, Cement & RMC OPC 43 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-43-grade-cement/zuari-43-grade-cement/,,,50,,,,,,,Zuari 43 Grade Cement,393.00,,377.00,
,,, Cement & RMC OPC 43 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-43-grade-cement/dalmia-43-grade-cement/,,,50,,,,,,,Dalmia 43 Grade Cement,370.00,,360.00,
,,, Cement & RMC OPC 53 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-53-grade-cement/dalmia-53-grade-cement/,,,50,,,,,,,Dalmia 53 Grade Cement,373.00,,362.00,
,,, Cement & RMC OPC 43 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-43-grade-cement/chettinad-43-grade-cement/,,,50,,,,,,,Chettinad 43 Grade Cement,360.00,,350.00,
,,, Cement & RMC OPC 53 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-53-grade-cement/chettinad-53-grade-cement/,,,50,,,,,,,Chettinad 53 Grade Cement,366.00,,352.00,
,,, Cement & RMC OPC 53 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-53-grade-cement/coromandel-king-53-grade-cement/,,,50,,,,,,,Coromandel King 53 Grade Cement,395.00,,385.00,
,,, Cement & RMC PPC & PSC Cement',3,http://buildkar.com/shop/cement-rmc/ppc-psc-cement/dalmia-ppc-cement/,,,50,,,,,,,Dalmia PPC Cement,369.00,,359.00,
,,, Cement & RMC PPC & PSC Cement',3,http://buildkar.com/shop/cement-rmc/ppc-psc-cement/chettinad-ppc-cement/,,,50,,,,,,,Chettinad PPC Cement,360.00,,348.00,
,,, Cement & RMC PPC & PSC Cement',3,http://buildkar.com/shop/cement-rmc/ppc-psc-cement/coromandel-ppc-cement/,,,50,,,,,,,Coromandel PPC Cement,395.00,,380.00,", Coromandel PPC Cement, , Coromandel Super Power is the premium blended cements from THE INDIA CEMENTS LIMITED. It is produced by intergrinding of PPC clinker along with gypsum and mineral admixtures. Dedicated to the end user after passing through stringent tests at their\xa0R&D laboratory, it ensures durable structures that lasts for generations. Coromandel cement ensures increase in strength as the time passes. It is known to be a high durable concrete \xa0as it protects from corrosion, coastal attack and extreme temperature. It is an ideal cement for resisting aggressive environments like chemical, chloride and sulphate attack. It is best suited for high performance concrete. Its high fineness is suited for plastering and finishing works. Known for its low heat of hydration, it is \xa0ideal for mass concrete pours and machine foundations. \xa0The coromandel PPC is equivalent to 53 grade cement., "
,,, Cement & RMC PPC & PSC Cement',3,http://buildkar.com/shop/cement-rmc/ppc-psc-cement/jsw-psc-cement/,,,50,,,,,,,JSW PSC Cement,350.00,,340.00,
,,, Cement & RMC OPC 53 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-53-grade-cement/kcp-53-grade-cement/,,,50,,,,,,,KCP 53 Grade Cement,355.00,,345.00,
,,, Cement & RMC OPC 43 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-43-grade-cement/maha-43-grade-cement/,,,50,,,,,,,Maha 43 Grade Cement,370.00,,360.00,
