Thickness Brand 
8 mm bars VRKP 10 Nos 47 Kgs 12 Metres ( 40 Feet ) 
10 mm bars VRKP 7 Nos 53 Kgs 12 Metres ( 40 Feet ) 
12 mm bars VRKP 5 Nos 53.4 Kgs 12 Metres ( 40 Feet ) 
16 mm bars VRKP 3 Nos 56.88 Kgs 12 Metres ( 40 Feet ) 
20 mm bars VRKP 2 Nos 59.2 Kgs 12 Metres ( 40 Feet ) 
25 mm bars VRKP 1 No 46.2 Kgs 12 Metres ( 40 Feet ) 
Thickness Brand 
8 mm bars Kamdhenu Steel 10 Nos 47 Kgs 12 Metres ( 40 Feet ) 
10 mm bars Kamdhenu Steel 7 Nos 53 Kgs 12 Metres ( 40 Feet ) 
12 mm bars Kamdhenu Steel 5 Nos 53.4 Kgs 12 Metres ( 40 Feet ) 
16 mm bars Kamdhenu Steel 3 Nos 56.88 Kgs 12 Metres ( 40 Feet ) 
20 mm bars Kamdhenu Steel 2 Nos 59.2 Kgs 12 Metres ( 40 Feet ) 
25 mm bars Kamdhenu Steel 1 No 46.2 Kgs 12 Metres ( 40 Feet ) 
Thickness Brand 
8 mm bars Meenakshi Steel 10 Nos 47 Kgs 12 Metres ( 40 Feet ) 
10 mm bars Meenakshi Steel 7 Nos 53 Kgs 12 Metres ( 40 Feet ) 
12 mm bars Meenakshi Steel 5 Nos 53.4 Kgs 12 Metres ( 40 Feet ) 
16 mm bars Meenakshi Steel 3 Nos 56.88 Kgs 12 Metres ( 40 Feet ) 
20 mm bars Meenakshi Steel 2 Nos 59.2 Kgs 12 Metres ( 40 Feet ) 
25 mm bars Meenakshi Steel 1 No 46.2 Kgs 12 Metres ( 40 Feet ) 
Thickness Brand 
8 mm bars Bhuwalka Industries Limited 10 Nos 47 Kgs 12 Metres ( 40 Feet ) 
10 mm bars Bhuwalka Industries Limited 7 Nos 53 Kgs 12 Metres ( 40 Feet ) 
12 mm bars Bhuwalka Industries Limited 5 Nos 53.4 Kgs 12 Metres ( 40 Feet ) 
16 mm bars Bhuwalka Industries Limited 3 Nos 56.88 Kgs 12 Metres ( 40 Feet ) 
20 mm bars Bhuwalka Industries Limited 2 Nos 59.2 Kgs 12 Metres ( 40 Feet ) 
25 mm bars Bhuwalka Industries Limited 1 No 46.2 Kgs 12 Metres ( 40 Feet ) 
Thickness Brand 
8 mm bars JSW 10 Nos 47 Kgs 12 Metres ( 40 Feet ) 
10 mm bars JSW 7 Nos 53 Kgs 12 Metres ( 40 Feet ) 
12 mm bars JSW 5 Nos 53.4 Kgs 12 Metres ( 40 Feet ) 
16 mm bars JSW 3 Nos 56.88 Kgs 12 Metres ( 40 Feet ) 
20 mm bars JSW 2 Nos 59.2 Kgs 12 Metres ( 40 Feet ) 
25 mm bars JSW 1 No 46.2 Kgs 12 Metres ( 40 Feet ) 
Thickness Brand 
8 mm bars Indus steels 10 Nos 47 Kgs 12 Metres ( 40 Feet ) 
10 mm bars Indus steels 7 Nos 53 Kgs 12 Metres ( 40 Feet ) 
12 mm bars Indus steels 5 Nos 53.4 Kgs 12 Metres ( 40 Feet ) 
16 mm bars Indus steels 3 Nos 56.88 Kgs 12 Metres ( 40 Feet ) 
20 mm bars Indus steels 2 Nos 59.2 Kgs 12 Metres ( 40 Feet ) 
25 mm bars Indus steels 1 No 46.2 Kgs 12 Metres ( 40 Feet ) 
  Total: 0 Rs. 0.00
Thickness Brand 
8 mm bars Vizag Steel 10 Nos 47 Kgs 12 Metres ( 40 Feet ) 
10 mm bars Vizag Steel 7 Nos 53 Kgs 12 Metres ( 40 Feet ) 
12 mm bars Vizag Steel 5 Nos 53.4 Kgs 12 Metres ( 40 Feet ) 
16 mm bars Vizag Steel 3 Nos 56.88 Kgs 12 Metres ( 40 Feet ) 
20 mm bars Vizag Steel 2 Nos 59.2 Kgs 12 Metres ( 40 Feet ) 
25 mm bars Vizag Steel 1 No 46.2 Kgs 12 Metres ( 40 Feet ) 
Thickness Brand 
8 mm bars Sk Super 10 Nos 47 Kgs 12 Metres ( 40 Feet ) 
10 mm bars Sk Super 7 Nos 53 Kgs 12 Metres ( 40 Feet ) 
12 mm bars Sk Super 5 Nos 53.4 Kgs 12 Metres ( 40 Feet ) 
16 mm bars Sk Super 3 Nos 56.88 Kgs 12 Metres ( 40 Feet ) 
20 mm bars Sk Super 2 Nos 59.2 Kgs 12 Metres ( 40 Feet ) 
